DTOP,DBTM,READ,X,Y,BPP,NBYTES,F
0,919,23,1,1,8,1,0
0,25523,23,32,24,8,768,1
0,283810,23,130,68,8,8840,2
0,394163,23,128,96,8,12288,6
0,321030,23,100,100,8,10000,17
0,682552,23,100,213,8,21300,12
0,600031,23,120,156,8,18720,11
0,492984,23,124,124,8,15376,22
0,525298,23,128,128,8,16384,10
0,492979,23,124,124,8,15376,9
0,416987,23,100,130,8,13000,19
0,471330,23,140,105,8,14700,8
0,388150,23,110,110,8,12100,7
0,383707,23,130,92,8,11960,5
0,383707,23,130,92,8,11960,18
0,384967,23,120,100,8,12000,4
0,321032,23,100,100,8,10000,3
